Disco,Service Areas,Tariff Class,Tariff Type,Tariff Rate 2022,Tariff Rate 2023,Tariff Rate 2024
Abuja Electricity Distribution Company(AEDC),FCT,R1,Residential customers that use less than 50KW consumption,4.00,4.00,4.00
Abuja Electricity Distribution Company(AEDC),FCT,R2,Residential customers with more than 50KW consumption,19.51,19.40,19.25
Abuja Electricity Distribution Company (AEDC),FCT,R3,Residential customers in small estate/government house,37.12,36.91,36.62
Abuja Electricity Distribution Company (AEDC),Niger,R4,Residental Customers with HV Maximum demand(11/33kv),37.12,36.91,36.62
Abuja Electricity Distribution Company(AEDC),Niger,C1,Small commercial businesses ,29.43,29.26,29.03
Abuja Electricity Distribution Company(AEDC),Niger,C2,commercial with LV Maximum demand,37.12,36.91,36.62
Abuja Electricity Distribution Company(AEDC),Kogi,C3,commercial with HV Maximum demand,37.12,36.91,36.62
Abuja Electricity Distribution Company(AEDC),Kogi,D1,"Small industries e.g welders, pure water coys",28.38,28.22,28.00
Abuja Electricity Distribution Company(AEDC),Kogi,D2,Industrial with LV Maximum demand,37.12,36.91,36.62
Abuja Electricity Distribution Company(AEDC),Kogi,D3,Industrial with HV Maximum demand,37.12,36.91,36.62
Abuja Electricity Distribution Company(AEDC),Nasarawa,A1,Special e.g Churches and Mosques,28.12,27.96,27.74
Abuja Electricity Distribution Company(AEDC),Nasarawa,A2,Special with LV Maximum demand,28.12,27.96,27.74
Abuja Electricity Distribution Company(AEDC),Nasarawa,A3,Special with HV Maximum demand,28.12,27.96,27.74
Abuja Electricity Distribution Company(AEDC),Nasarawa,S1,Street lights,21.55,21.43,21.26
Benin Electricity Distribution Company(BEDC),Benin,R1,Residential customers that use less than 50KW consumption,4.00,4.00,4.00
Benin Electricity Distribution Company(BEDC),Benin,R2S,Residential  Customers with Single/double phase,24.49,24.34,24.14
Benin Electricity Distribution Company(BEDC),Benin,R2T,Residential Customers with three (3) phase,26.94,26.78,26.56
Benin Electricity Distribution Company(BEDC),Benin, R3,Residential customers in small estate/government house,31.69,31.50,31.24
Benin Electricity Distribution Company(BEDC),Edo,R4,Residental Customers with HV Maximum demand(11/33kv),31.69,31.50,31.24
Benin Electricity Distribution Company(BEDC),Edo,C1S,Commercial with Single/double  phase,27.34,27.17,26.95
Benin Electricity Distribution Company(BEDC),Edo,C1T,Commercial with three (3) phase,28.41,28.24,28.01
Benin Electricity Distribution Company(BEDC),Edo,C2,commercial with LV Maximum demand,29.85,29.67,29.43
Benin Electricity Distribution Company(BEDC),Ekiti,C3,commercial with HV Maximum demand,29.85,29.67,29.43
Benin Electricity Distribution Company(BEDC),Ekiti,D1S,Industrial with Single/double phase,27.90,27.73,27.50
Benin Electricity Distribution Company(BEDC),Ekiti,D1T,Industrial with three (3) phase,29.72,29.54,29.30
Benin Electricity Distribution Company(BEDC),Ekiti,D2,Industrial with LV Maximum demand,30.77,30.59,30.34
Benin Electricity Distribution Company(BEDC),Ondo,D3,Industrial with HV Maximum demand,30.77,30.59,30.34
Benin Electricity Distribution Company(BEDC),Ondo,A1S,Special with Single/double phase,25.85,25.69,25.48
Benin Electricity Distribution Company(BEDC),Ondo,A1T,Special with three phase,26.61,26.45,26.24
Benin Electricity Distribution Company(BEDC),Delta,A2,Special with LV Maximum demand,27.63,27.46,27.24
Benin Electricity Distribution Company(BEDC),Delta,A3,Special with HV Maximum demand,27.63,27.46,27.24
Benin Electricity Distribution Company(BEDC),Delta,S1,Street light ,28.40,28.23,28.00
Eko Electricity Distribution PLC(EKEDC),Eko,R1,Residential customers that use less than 50KW consumption,4.00,4.00,4.00
Eko Electricity Distribution PLC(EKEDC),Eko,R2S,Residential  Customers with Single/double phase,19.98,19.90,19.78
